,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
52,0.0,0.0,2.0,6.0,1.0,5.0,1.0,3.0,1.0,1.0,6.0,9.0,2.0,3.0,2.0,4.0,4.0,1.0,0.0,4.0,1.0,5.0,5.0,1.0,0.0,1.0,2.0,2.0,6.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,6.0,7.0,2.0,2.0,1.0,0.0,8.0,1.0,7.0,1.0,8.0,7.0,0.0,5.0,1.0,1.0,7.0,3.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0
53,3.0,0.0,6.0,5.0,0.0,1.0,2.0,7.0,0.0,1.0,5.0,10.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,7.0,1.0,2.0,0.0,7.0,13.0,2.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0
54,2.0,0.0,3.0,9.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,2.0,7.0,0.0,5.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,6.0,5.0,2.0,1.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
55,4.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0
56,3.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,4.0,6.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0
57,0.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0,0.0,4.0,2.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,6.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,9.0,3.0,1.0,1.0,1.0,8.0,1.0,3.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0
58,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,8.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
60,3.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,6.0,1.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,2.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0
62,1.0,2.0,0.0,1.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,2.0,0.0
63,2.0,0.0,4.0,2.0,1.0,4.0,1.0,4.0,0.0,0.0,4.0,7.0,4.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,2.0,0.0,4.0,4.0,8.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,11.0,5.0,6.0,1.0,7.0,6.0,2.0,2.0,1.0,0.0,6.0,0.0,5.0,0.0,4.0,2.0,5.0,8.0,1.0,0.0,12.0,3.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0
64,4.0,4.0,1.0,2.0,1.0,2.0,8.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,6.0,5.0,1.0,6.0,6.0,2.0,9.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0
